review_id,code,type,customer_id,product_id,product_title,star_rating,review_headline,review_date,review_body
RE5W1QGCHL7GE,nafic,Fiction,49949864,1400060923,"lost boy lost girl: A Novel (Straub, Peter)",3,Lost Boy Lost G--,2004-10-21,"I bought this book because of the blurb on the cover, the one where Stephen King says that the book ""may be Straub's best work yet.""  IF that's true then I won't be reading any other Straub books, because this one does not have an ending.  THe book starts overall well, it's scary and the story is building, but instead of a great, scary, satisfying ending, it just STOPS.  The mystery is not solved, and there are gaping logical flaws that were never explained.  Totally unsatisfying.  Straub, where's the rest of the book!  You owe me a dollar, for the portion of the book you neglected to write."
R1GCXVK5M6R192,canf,Nonfiction,13143218,039305893X,The Intimate Garden: Twenty Years and Four Seasons in Our Garden,5,An intimate view of garden design,2005-08-02,"This excellent book allows the reader to get inside the head of a great garden designer.  It follows the design problems and solutions the Haywards thought out over 20 years in their Vermont garden.  It's full of ideas of how to add structure, vistas, destinations, and emotions to any garden design."
RTC45TJRWY7K0,canf,Nonfiction,24791384,0446532231,"Dude, Where's My Country?",5,Wow!,2003-11-02,"Wow! Some harsh words in these reviews. Pity they all came from people who voted for a crook because he said he liked guns and not abortion.  Well, guys, when you're sitting in your tiny grey cubes on Monday, with your bosses forcing you to work 86 hours a week and your health insurance company making you do it until you are 75 years old (if you live that long), only for you to discover at 75 that you have to bag groceries at the Quickie Mart for your benefits until the day you die, all the more so as the same bosses that made you work 86 hours a week spent all your pension to send their corporate offspring to business or law school, while your kids (if you can afford the insurance to have any) are all drafted into the marines to kill Arabs or naughty Europeans or some other object of hate for this week, which is just as well because you don't need a good education to get into the marines and they won't have one, and you can't travel anywhere beyond the Canadian border because your country is loathed worldwide, and your SUV is sitting in the front yard unused for five years because you and other morons like you hogged all the oil and we have run out of countries to pillage and natural areas to dig up, so you are stuck at home, then you may, just MAY, take the time to read this book and THINK for a while about what a MESS you and people like you are making of this country."
R4R14J1B1OZH9,canf,Nonfiction,43581059,0385509278,Tour Tempo: Golf's Last Secret Finally Revealed (Book & CD-ROM),5,Tour Tempo Works,2004-08-09,"I have been playing golf of an on now for 20 years and always had issues with consistency.  I'd begin the season playing well then the more I played the more inconsistent my play became. Last week, while playing with a friend I had one of the worst rounds I could remember.  My friend mentioned that my swing looked out of synch.  With that feedback I searched the internet for a book or a tool to help me with my timing and tempo.  I discovered the Tour Tempo on Amazon.com and purchased the book. At the onset, my initial impression was that the book and disc had the feel of an infomercial to buy more training products, so I was very skeptical.  I pressed on, reading the book in one sitting and watched the videos.  The information in this book hit home with me because I knew that tempo was important, and this book gave me a tool to practice good tempo. My mechanics are sound, (handicap 14), but the inconsistencies seem to always sabotage my round.  After one, one hour session on the range listening to the disc, followed by pre-round listening to the disc I enjoyed one of my best rounds ever - 80.  I started my round with birdie, par, birdie, par, hitting the first four greens in regulation. Better yet I was hitting the ball extremely well, shot after shot.    The secret was to focus on every shot, making a practice swing before every shot until I could feel that I was in synch before I even addressed the ball.  The ""Swing, Set, Through"" rythm really works if applied with diligence.  The book and the enclosed disc are all you need to get started."
R8ZMBL9PJZT0C,nanf,Nonfiction,52456582,0446532444,Three Weeks with My Brother,5,A Great Read,2005-09-05,I have loved Nicholas Sparks' writing since his first book came out.  Reading his biography was enlightning and heartwarming.  I'm glad that Micah and Nicholas have each other and had this wonderful opportunity to be together.  A great read - and glad they shared it.
R1NXIDRJHVJM1Q,nafic,Fiction,27609705,0515138657,Black Rose (In The Garden Trilogy),3,Same Old Same Old,2005-08-18,"Okay...I am going to risk incurring the wrath of Nora Robert's minions by being negative about this book.      First off, was it better than the first book?  Yes, definitely.  The character is much more developed, the romance is more developed, the harper bride (which in my opinion is the best part of the whole series and my sole reason for reading them) is more developed, and the plot is more developed.    However, it is the same old tired love story!  Is this the only kind of love Nora Roberts can describe???  Is this the only type of romance in the world?  And to you dedicated Nora Robert's fans....Don't you want to read a story where the ending is uncertain, where love may mean sacrificing a relationship, etc?  There are so many other kinds of love and romance stories out there.  And Roberts continues to use the same one...over and over and over ad nauseum.      Roberts has the potential to be an awesome writer.  She just settles for being less.  It's true she's a bestseller, but are her books meaningful or important?  No.  They are just books that romance-starved women read to feel a sense of completeness in their lives.    The surrounding story of the Harper bride is wonderful!  The romance, on the other hand, is tired and trite.  I wish Roberts had discluded romance entirely or made it secondary to the plot.  It's just boring.  Just like we all know that in the end of Red Lily, Harper and Hayley will profess their love and hook up permanently.  No surprise.  None.  I'm only going to read it for the Harper Bride part.    So, overall, if you love Roberts, you'll love this.  I don't love her, so I don't love this.  Grade C- (2.5 stars)"
RTA5Y2K0QS8YP,nafic,Fiction,34857965,0679720200,The Stranger,3,Disturbing -- hence a useful introduction to existentialism,2004-05-03,This book could be considered a bronze standard existentialist novel. You're unlikely to look at life quite the same way after reading it.
R1TG0SPSV497JW,caref,Reference,52625324,0030253977,"Introduction to the Study of Insects, 6th Edition",5,Primary source for basic entomological study,1998-03-25,"For ages, this has been the best source of knowledge for the beginner.  I have 3 different editions."
R2GGCFOQ5EW09J,cafic,Fiction,19934580,0385492510,Gates of Fire,5,Pass this book on to your children!!!,2004-05-15,The Gates of Fire is with out a doubt one of the best books I have ever read bar none. If you are a fan of the genre then you must make it your duty to read this book. I will always remember the first time I read it. Keep this in your collection of books at home and introduce it to your children when they are old enough to read this type of material. Truly amazing!
RA006KPRH111G,cafic,Fiction,51880107,1594200637,On Beauty,5,A Satisfying Read,2005-09-27,"I just devoured this novel.  Zadie Smith is outrageously insightful about the business of family.  The novel is tender and forgiving.  Bits of it left me stuck in an emotion.  It is by no means a ""perfect novel"" whatever that would be...there are names that I would change, particular lines that stick out like an unfinished hem.  But what you feel like while reading is that you're swirling around in the lives of these broken characters, and when you put the book down, they linger.  Their problems are recognizable, human.  That aside, she's hilarious.  Just buy the thing and read for yourself."
R163QY58P7LWOG,cafic,Fiction,49336695,006019491X,Daughter of Fortune: A Novel,5,True to form and truly beautiful,2000-06-18,"Whenever I have ever heard anybody say of a book that they could not put it down, I usually shrugged it off, thinking the speaker to be a bit too dramaic.  That is however, until I came across  -- purely by chance --  Isabel Allende.  Daughter of Fortune continues the marvelous work of a  very gifted author.  A captivating story, with marvelous characters; a  thing of beauty.  If you have ever wanted to lose yourself in a story, then  this is a book you should read.  And when you finish, and your soul longs  for more (as, I guarantee you, you will; Ms. Allende has a knack for  getting you so into her characters and her stories that they become so much  a part of you, and you actually miss them when the story is over), why not  read the others in her collection, if you have not already?  You will have  the same feeling about each one. Yes, critics will say the story has, in  a broad sense, a theme similar to all her works, but Ms. Allende here shows  her true art, for in retelling that theme, she never seems to make you  quite feel as if you've heard it all before.  Her descriptions, both of  character and scenery, always draw you in, bringing you deeper into the  magical world she has created.  Daughter of Fortune accomplishes that.  I  don't want to give anything away about it; just get the book, open it up  and you will soon see what I mean. I anxiously await her next work, which  based on the ending of this one, I suspect will be a continuation of the  saga of Eliza and Tao Chi'en."
R12BC1SF97ADU1,nafic,Fiction,26037399,0553375407,Ishmael:A Novel,4,Good for seeing the big picture,2005-08-24,"This is a good book for helping one see the big picture. You may have asked yourself: what is going on? It's hard to answer when you're stuck in the belly of the beast.    I'll spoil it. If all goes well, we will grow so much that we fill the universe. That is the underlying goal of our civilization, to grow.    With some distance it doesn't seem like such a noble or special thing, and the book is excellent at giving you the perspective of the observer.    That is the strength of the book. However, the book also makes the argument that a life of coexistence is preferable, for example, one of a tribal hunter/gatherer society.    This you may not swallow. You may not be convinced that humans are going to perish before they become powerful enough to escape the consequences of environmental damage. You may think that a long and uneventful, if happy, life as a species sounds no better than one of endless growth (or at least the attempt).     Still, one can't expect to find the meaning of life. The book is strong enough as a criticism of our culture to be worth reading."
R4ZBBI719EUQM,cab,Nonfiction,52255553,1559720689,Death and Life of Sylvia Plath,5,Suicide as Life,2001-10-21,"The main problem of writing a biography of Sylvia Plath is the roadblocks that are constantly being thrown out by her husband's controlling estates. Unlike other biographers, Hayman has managed to be honest and critical about who Plath is, and how she was treated by people around her, including her husband and his mistress. Hayman addresses critically and honestly Plath's husband controlling nature. He controlled her life when she was alive, but worse still he controlled her totally after she died. There are many crucial works and correspondences of Plath that were destroyed, or mysteriously disappeared (presumable by her husband). Hayman argues that these materials are extremely valuable to understand more Plath's life as suicide."
RZZJHUZ6GEMVT,cafic,Fiction,53085805,0374183392,"The Last Days of Disco, With Cocktails at Petrossian Afterwards",5,A Great Summer Read,2000-08-03,"Whit Stillman, one of the most talented independent film makers working  today has another side:  he is also a great novelist.  He has manged to  turn the story of his last film into a novel that is just as witty and  perceptive.  The interplay of his characters is riveting, his view of New  York City at night enchanting and his use of language inspiring.  Who else  could combine a love story straight out of Jane Austin with a description  of popular music that might have come from Rolling Stone?  This is the  perfect book to curl up with on a rainy summer weekend."
R2SX5H34NANJK6,canf,Nonfiction,51300959,0874519098,Reflections in Bullough’s Pond: Economy and Ecosystem in New England (Revisiting New England),5,On Reflection: Dazzling!,2000-06-05,"This is one of the best books I have ever read- period! At the core of the book is Ms. Muir's message that we are part of nature, not separate from or above nature, and we have a great responsibility to maintain the integrity  of the environment. Granted, this message is not new. Where this book is  very different is how Ms. Muir leads up to this message. She shows how the  New England landscape changed from one where farming dominated to one that  was a mixture of many different types of mills and factories. You learn the  consequences of everything that was done along the way: the consequences to  fish and birds of damming rivers; the consequences to forests and to the  air we breath of heavy logging; the consequences of catching too many of  one type of fish, etc. What is great about this book is that Ms. Muir does  not deal in hazy generalities. She takes you step by step and shows you  specifically how certain actions cause certain changes in the environment,  often unforseen. There is nothing simplistic in her observations and she  knows there are no easy answers. She lays out the data for you and you can  come to your own conclusions. But what really takes this book to another  level is the fascinating biographical information that Ms. Muir provides  concerning the many, many New Englanders that invented the machines of the  Industrial Revolution and kept the economy vibrant as the importance of  agriculture diminished. The way this book is put together is very unusual,  due to the combination of all of the above factors and in the space of 248  pages you will learn a great deal of information. The research Ms. Muir  must have done in writing this book is staggering and her knowledge across  many different areas is amazing. Don't miss reading this book."
R2D6IMQ24UQO5Y,nafic,Fiction,40936009,0385504209,The Da Vinci Code,5,Non-Stop Page Turner,2003-11-18,"I usually don't read books of this nature, but after my wife and father-in-law raved about it, I had to read it. I was hooked on it from the first two chapters. Being raised Christian, this book also challenged many of the ideals I was taught through out my life. If you read this with an open mind, it is even more entertaining.  I read this book in three days, which at 450 pages, is not easy.  ( my job provides me with a lot of down time). The suspense Dan Brown creates is that good. Read this book, you will not be disappointed. You might even learn sometihng. I know I did."
R2CAG03MSZIV6P,nanf,Nonfiction,49687984,0060185414,City on Fire: The Forgotten Disaster That Devastated a Town and Ignited a Landmark Legal Battle,5,You'll Be Transported,2003-02-28,"Minutaglio combines Michael Crichtonesque pacing with the unflinching detail of Capote.  His book tells  a history  that takes the reader beyond the dry facts, figures and footnotes. Want banal? standard history?  Go back to junior high and fall asleep at your desk (perhaps underneath the asbestos). Buy this book and find yourself inside a story, walking the neon streets and smelling the factories.  I was thankful that Mr. Minutaglio didn?t get too mired in some kind of academic repeat of microfiche minutia.  His uncanny ability to tell the whole story even as he trimmed the fat and gave special attention to what was inherently dramatic was what made this book such a joy to read."
R32WFR2QHQUZGZ,cab,Nonfiction,49456207,0679721886,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,4,Reader response,2000-06-03,"As a Filipino American, I think that MHK does a superb job describing the immigrant/emigrant experience...its struggles and its pain. She so poignantly recalls the story of Moon Orchid, offering the story through  different points of view.  The reader can become the weak old woman,  afraid, scared and disoriented in a new land.  The reader can be Brave  Orchid, proud, hard, refusing to compromise or part with tradition or  beliefs.  Finally, the reader can be the children, who roll their eyes and  find the Chinese ways embarrasing.  Yes, life in America may have been hard  for MHK, but, as she reveals in the Western Palace, it was hard for her  mother and aunt too."
R1K2EW7DKWFMUQ,canf,Nonfiction,49003688,1889540536,Proficient Motorcycling: The Ultimate Guide to Riding Well,5,An absolute gem for new and veteran riders alike!,2005-05-14,"David Hough is a saint.  His magazine articles regarding safe motorcycling have been a boon to the riding community as a whole, but this book, Proficient Motorcycling, is an absolute blessing with a compilation of almost all the information anyone needs to be a safer rider.    I'm 28 and I've been riding for almost four years now, and Hough's book is a pre-season training ritual for me.  Every year, before I get set to start riding for the summer, I whip out Hough's book and read it from cover-to-cover to refamiliarize myself with everything that a good rider needs to know before heading out on the streets.  I attribute my not having laid down my 2001 SV650S at least partially to the amazing advice held within the pages of Hough's book (knock on wood).    If you're a rider who's new to the sport or a veteran rider who's been riding for decades, David Hough's Proficient Motorcycling won't steer you wrong with a bounty of good advice and well-drawn diagrams to prepare you to face the hundreds of horrible drivers in SUVs that are plaguing our freeways.  GET THIS BOOK!"
R23JCV897AQYXU,nasf,Fiction,53084715,0553374591,Feersum Endjinn,3,Another tough one from Iain Banks,2001-01-06,"I am very interested in what Banks has to say and how he says it, but I find several of his books, including this one, to be heavy going. The stage upon which this tale is set is a phenomenally immense  castle , so large that each room is kilometers across, and a person may live in the eye socket of one of the decorative gargoyles. In addition to distorting our sense of space, Banks toys with our sense of time by giving humans 8 + 8 lives; 8 in normal reality, and 8 in a virtual reality.  Time in virtual space passes at a much much slower rate than normal time. The characters of this tale inhabit both the real and virtual spaces and times as they work out their own involvements with the impending  Encroachment , and their attempts to avoid a catastrophic end to all life on Earth. I stumbled along, enjoying the trip but not the struggle.  An interesting trip it was, but now on to lighter fare for a while. Interesting but not an easy read."
R1HD8M2IJ72CU1,canf,Nonfiction,28321523,0060737980,Surrounded by Idiots: Fighting Liberal Lunacy in America,5,A unique perspective....,2005-08-13,"Gallagher uniquely weaves stories of his personal life with a compelling poltical commentary.  While it is hard to agree with all that he has to say, his arguments about the policital enviroment of the United States and our place in the world are persuasive.    This is a great read for anyone who is interstread in a personal sucess story, a loving relationship, and using those as backdrops for a common-sense political position."
R34MUQU06L5DYB,canf,Nonfiction,49629187,0472115030,"Grit, Noise, and Revolution: The Birth of Detroit Rock 'n' Roll",5,Complete,2005-10-10,"A fantastic book all around that once and for all details Detroit's legendary rock history. The MC5, The Stooges, The Frost, Alice Cooper, The Rationals, Frijid Pink,SRC, The Up,Commander Cody, Mitch Ryder, Bob Seeger, Savage Grace, John Lee Hooker, Goose Lake Festival, Grande Ballroom, The Eastown..etc. etc....it's all here in an unforgetable read that you can't put down.  Get it now."
R10APKWYV6G5Y5,canf,Nonfiction,39541456,0736908234,"Unholy War: America, Israel and Radical Islam",1,Grossly slanted toward Isreali position,2005-04-05,"This book is disgustingly slanted toward the position of the pro-Isreali's. Each page is becomes more blatent. It's impossible for any book to be completely void of bias, but Randall Price doesn't even make an effort to lay out the facts and let the reader draw their own conclusion. It's just riduculous. I usually buy my books instead of borrowing from the library in order to support the authors; but take my advice and save you money with this one.  That is, of course, unless your mind is already made up and you simply want to feel better about your obstinance."
RY83E35NDFYVH,nafic,Fiction,23860917,0679720200,The Stranger,4,The Stranger: An Existential Novel,2004-10-05,"The Stranger tells the story of Meursault, a man who seems aimless in life and has stopped noting his feelings.  Events that would seem major to others do not effect him in any emotional way.  When his mother dies, he is not saddened in the least bit, and goes on a date the day after her funeral.  When he becomes involved in the dangerous affairs of an amoral pimp named Raymond, Meursault's fate takes a turn for the worst.  He eventually commits a pointless murder, and faces the possibility of having to face the worst consequence possible; execution.    The simple narrative of this novel parallels the theme of existentialism, and the pointlessness of life.  This book definetely requires reading between the lines, so it is not for everyone.  Some also believe that the author's outlook on life highly influences the novel, while I believe that it does not hinder the potency of the message."
R3OP93T6UV2O4W,ccnf,Nonfiction,52210595,0399234071,So You Want to Be President? (CALDECOTT MEDAL BOOK),5,Hilarious!,2001-11-27,"My third grade teacher read this book to my class.  I found the book to be hilarious.  It has funny facts about the presidents in American history and it wasn't made up, all these facts are true.  I like to read this book over and over again. It is a teacher's choice."
RESQZXLD267PV,cab,Nonfiction,52745945,0967002303,Chinese Playground : A Memoir,5,Close to Home,1999-04-30,"I finished this book in one day. The stories that Bill Lee tells sound all too familiar. I am happy that someone had the courage to reveal the dark side of growing up as Asian Americans. The model minority image does not  fit here and the author does a good job in making us not feel sorry for  him. I wish the book would have gone into more details about his son, but I  respect his privacy. I hope people realize what a courageous thing Bill Lee  did in writing this book."
R3SSGNJ9FZ20GF,cafic,Fiction,23232281,1400063833,Until I Find You: A Novel,2,Disappointing,2005-10-06,"I've been a John Irving fan for ages, but  I have to say that this novel just didn't do it for me."
R3ILFW9JQZOQWS,canf,Nonfiction,52689690,0060746734,The Connection: How al Qaeda's Collaboration with Saddam Hussein Has Endangered America,1,Another example of Saddam-binLaden conspiracy drivel,2004-06-09,"Yeah, right, the author connects the dots. He connects the dots like the Cubans in Miami connect the dots between Castro and everything wrong with the world! This is nothing more than another boring, unending tome trying to justify the fantasy that Saddam and bin Laden were in cahoots. Anyone with any knowledge whatsoever of Islam and modern middle-Eastern history knows that the two were (or, rather, are) natural enemies and would NEVER co-operate, however one fantasizes about connecting the dots. The fact is that Bush wanted to invade Iraq from day one, and he found - rather, tried to find - a thousand excuses to do so. What is most amazing is that the world allowed itself to be bamboozled by the only remaining evil empire into approving the invasion of Iraq. That the American public did so is no surprise!"
R3BUJLUD8M4PIJ,ncfic,Fiction,22428033,078681859X,"The Amulet of Samarkand, Book 1 (Bartimaeus )",4,Better than I thought it would be,2003-12-17,"This story is a lot like The Kingdoms and the Elves of the Reaches by Robert Stanek. A classic good vs. evil story. There's a young wizard apprentice, Nathaniel, with a rough childhood who gets pushed to far. Think Vilmos from Kingdoms and the Elves of the Reaches. A strange and powerful being. In this case a Djinn called Bartimaeus in Kingdoms and the Elves it is Xith. Overall recommended but read the real thing first."
R2QPNMF7LBSDZU,ncfic,Fiction,52913558,0439784549,Harry Potter and the Half-Blood Prince (Book 6),1,"Rags to Riches, Hungry to Lazy",2005-08-25,I must say I empathize with Rowling. When your the wealthiest person in England what motivation could there be to sitting down and actually writing a half way decent book. Apparently very little because this is the worst of a series and book 5 was only modestly better.  Don't waste your time. Read Eragon and Eldest instead.
R30TYNO7849Y0Q,canf,Nonfiction,12154194,1585424307,Millionaire Republican: Why Rich Republicans Get Rich--and How You Can Too!,5,The Best Success Book I Have Ever Read,2005-10-06,"Wayne Root has obviously made a career out of doing things his critics told him couldn't be accomplished.  His path to success is one that should be followed by anyone that dreams big and has the desire to be Number One.  Wayne has turned himself into a ""Millionaire Republican"" and he can show you how to be one also.    This book is like having a personal success coach by your side 24 hours a day, 7 days a week.  It's a wonderful primer that helps you chart your own path to becoming a ""Millionaire Republican.""  I read passages from the book every day for motivation and guidance.  Many thanks go to Mr. Root for putting this type of information in one book so that others can learn how to become ""Millionaire Republicans"" too."
R3P0QO6JRV4UEJ,canf,Nonfiction,49650112,031600023X,Worse Than Watergate: The Secret Presidency of George W. Bush,4,A dire warning.,2004-08-02,"I recommend this book for the fact that it addresses the issue of the over-expansion of power of the executive branch. The Constitution of the United States defines the Presidency in a limited role in the federal government. Through the years both Democrat and Republican presidents have expanded the powers of the Oval Office beyond its intended purpose. This book is obviously a negative critique of the policies of George W. Bush, but it also serves as a dire warning. John Dean speaks from experience about the dangers of what he calls an  imperial presidency . This is much more than a attack on Bush. It is a demand for the transparency, and checks-and balances our government requires."
